steam_appid,nome,data_de_lancamento,plataforma,generos,avaliacoes_positivas,avaliacoes_negativas,media_tempo_jogado,preco
500,"Left 4 Dead",2008-11-17,windows;mac,Action,17951,948,897,7.19
1530,Multiwinia,2008-09-19,windows;mac,Indie,368,75,121,7.19
2500,Shadowgrounds,2006-05-08,windows;mac,Action,973,248,186,3.99
2630,"Call of DutyÂ® 2",2006-10-13,windows;mac,Action,2434,236,750,14.99
3170,"King's Bounty: Armored Princess",2009-11-19,windows;mac,RPG;Strategy,482,53,1422,7.99
3330,"Zuma Deluxe",2006-08-30,windows;mac,Casual,437,37,267,4.25
3480,"Peggle Deluxe",2007-03-06,windows;mac,Casual,1106,66,214,4.25
3540,"Peggleâ„¢ Nights",2008-10-15,windows;mac,Casual,368,24,237,4.25
3590,"Plants vs. Zombies GOTY Edition",2009-05-05,windows;mac,Strategy,14630,454,480,4.25
3600,"Escape Rosecliff Island",2009-04-15,windows;mac,Casual,97,57,0,4.25
3900,"Sid Meier's CivilizationÂ® IV",2006-10-25,windows;mac,Strategy,1394,129,49,9.99
3990,"Civilization IVÂ®: Warlords",2007-04-06,windows;mac,Strategy,121,20,0,2.99
6010,"Indiana JonesÂ® and the Fate of Atlantisâ„¢",2009-07-08,windows;mac,Adventure,597,31,419,4.79
6020,"STAR WARSâ„¢ Jedi Knight - Jedi Academyâ„¢",2009-09-16,windows;mac,Action,5684,330,1254,7.19
6030,"STAR WARSâ„¢ Jedi Knight II - Jedi Outcastâ„¢",2009-09-16,windows;mac,Action,2020,219,127,7.19
6040,"The DigÂ®",2009-07-08,windows;mac,Adventure,575,55,801,4.79
7520,"Two Worlds II HD",2011-02-03,windows;mac,Nudity;Violent;RPG,3054,2051,327,14.99
7530,"Two Worlds II Castle Defense",2011-06-14,windows;mac,Strategy,153,194,320,6.99
7600,"Sid Meier's Railroads!",2007-05-04,windows;mac,Strategy,1114,570,165,5.99
7940,"Call of DutyÂ® 4: Modern WarfareÂ®",2007-11-12,windows;mac,Action,8725,821,1417,19.99
8340,"Strong Bad's Cool Game for Attractive People: Season 1",2008-12-18,windows;mac,Adventure,218,25,0,22.99
8500,"EVE Online",2010-12-15,windows;mac,"Action;Free to Play;Massively Multiplayer;RPG;Strategy",8317,2832,5123,0
8800,"Civilization IV: Beyond the Sword",2007-07-24,windows;mac,Strategy,1396,66,108,5.99
9500,Gish,2007-07-20,windows;mac,Indie,160,94,23,5.99
10180,"Call of DutyÂ®: Modern WarfareÂ® 2",2009-11-11,windows;mac,Action,30006,2826,999,19.99
11200,"Shadowgrounds Survivor",2007-11-14,windows;mac,Action,328,239,355,6.99
11280,"Penguins Arena: Sedna's World",2008-12-18,windows;mac,Action;Casual;Indie,902,129,91,4.79
11360,Chains,2009-07-01,windows;mac,Indie,433,148,36,3.99
15970,Luxor,2008-06-10,windows;mac,Casual,29,14,0,5.99
16620,"Monster Trucks Nitro ",2009-01-29,windows;mac,Indie;Racing;Sports,21,13,0,16.99
16720,"Velvet Assassin",2009-05-01,windows;mac,Action,1219,832,9,1.69
16810,"Sid Meier's Civilization IV: Colonization",2008-09-23,windows;mac,Strategy,330,95,1,9.99
18040,DeathSpank,2010-10-25,windows;mac,Action;Indie;RPG,540,34,1008,7.99
18050,"DeathSpank: Thongs of Virtue",2010-11-30,windows;mac,Action;RPG;Indie,125,18,0,7.99
18070,"The Baconing",2011-08-31,windows;mac,Action;Adventure;RPG,149,37,14,9.99
18120,"Unstoppable Gorg",2012-01-19,windows;mac,Action;Casual;Indie;Strategy,190,48,37,6.99
20900,"The Witcher: Enhanced Edition Director's Cut",2008-09-16,windows;mac,Action;RPG,26380,4217,773,6.99
24780,"SimCityâ„¢ 4 Deluxe Edition",2010-07-20,windows;mac,Simulation;Strategy,3110,959,228,9.99
25700,"Madballs in Babo:Invasion ",2009-09-17,windows;mac,Indie,198,38,54,3.99
25800,"Europa Universalis III Complete",2009-02-04,windows;mac,Strategy,1191,245,736,9.99
25890,"Hearts of Iron III",2009-08-07,windows;mac,Strategy,3298,992,809,7.99
25900,"King's Bounty: The Legend",2009-05-01,windows;mac,RPG;Strategy,1290,139,356,4.99
26900,"Crayon Physics Deluxe",2009-05-06,windows;mac,Casual;Indie,668,109,20,15.99
27000,"The Path",2009-03-18,windows;mac,Adventure;Indie,502,177,49,6.99
27050,Fatale,2009-11-04,windows;mac,Adventure;Casual;Indie,53,44,0,4.99
27400,"Dangerous High School Girls in Trouble!â„¢",2009-02-23,windows;mac,RPG;Indie;Casual,111,63,105,14.99
29800,Caster,2009-03-19,windows;mac,Action;Adventure;Casual;Indie;RPG;Strategy,3277,868,120,0.99
31270,"Puzzle Agent",2010-07-01,windows;mac,Adventure;Casual,1574,214,69,3.99
32110,"LUXOR: Mah Jong",2009-07-13,windows;mac,Casual,43,13,0,5.99
32310,"Indiana JonesÂ® and the Last Crusadeâ„¢",2009-07-08,windows;mac,Adventure,121,32,97,4.79
32340,LOOMâ„¢,2009-07-08,windows;mac,Adventure,306,41,14,4.79
32370,"STAR WARSâ„¢ - Knights of the Old Republicâ„¢",2009-09-05,windows;mac,Adventure;RPG,11569,1590,660,7.19
32400,"STAR WARSâ„¢ - Dark Forces",2009-09-16,windows;mac,Action,1501,171,99,4.79
32430,"STAR WARSâ„¢ - The Force Unleashedâ„¢ Ultimate Sith Edition",2009-12-15,windows;mac,Action,2287,1389,195,15.49
32440,"LEGOÂ® Star Warsâ„¢ - The Complete Saga",2009-11-12,windows;mac,Adventure,3033,256,243,15.49
33790,"Elizabeth Find M.D. - Diagnosis Mystery - Season 2",2011-06-09,windows;mac,Casual,16,13,0,14.99
34030,"Total War: NAPOLEON â€“ Definitive Edition",2010-02-25,windows;mac,Strategy,8540,907,1251,0
35140,"Batman: Arkham Asylum Game of the Year Edition",2010-03-26,windows;mac,Action;Adventure,20297,865,569,14.99
35800,"BRAINPIPE: A Plunge to Unhumanity",2009-07-06,windows;mac,Casual;Indie,126,22,0,0
36000,"Foreign Legion: Buckets of Blood",2009-08-04,windows;mac,Action;Indie,184,111,160,3.99
37100,Aztaka,2009-11-05,windows;mac,Action;RPG;Indie,94,39,0,3.99
37210,"ChocolatierÂ®: Decadence by Designâ„¢",2009-08-12,windows;mac,Simulation,51,23,0,7.49
37220,"Cooking DashÂ®",2009-08-12,windows;mac,Simulation,27,9,0,7.49
37230,"Diaper DashÂ®",2009-08-12,windows;mac,Simulation,13,2,0,7.49
37240,"Diner Dash:Â® Hometown Heroâ„¢",2009-08-12,windows;mac,Simulation,26,66,0,7.49
37270,"Wandering Willowsâ„¢",2009-08-12,windows;mac,Adventure;RPG,20,0,0,10.99
37280,"Wedding DashÂ® 2: Rings Around the World",2009-08-12,windows;mac,Simulation,13,3,0,7.49
37300,"DinerTown Tycoon",2009-09-30,windows;mac,Simulation,8,5,0,6.99
37310,"DinerTown Detective Agencyâ„¢",2010-05-06,windows;mac,Casual,4,10,0,4.99
37320,"The Nightshift Codeâ„¢",2010-05-06,windows;mac,Casual,2,3,0,4.99
37330,"Nightshift Legacy: The Jaguar's Eyeâ„¢",2010-05-06,windows;mac,Casual,3,1,0,4.99
37340,"Fitness Dashâ„¢",2010-05-06,windows;mac,Casual,8,0,0,4.99
37370,"TriJinx: A Kristine Kross Mysteryâ„¢",2010-05-06,windows;mac,Casual,3,1,0,4.99
37380,"Valerie Porter and the Scarlet Scandalâ„¢",2010-05-06,windows;mac,Casual,5,6,0,4.99
37390,"Gemini Lostâ„¢",2010-05-06,windows;mac,Casual,12,1,0,4.99
37600,Windosill,2009-09-25,windows;mac,Adventure;Casual;Indie,821,85,31,1.99
37800,Quantz,2009-09-03,windows;mac,Indie;Casual,24,13,5,7.99
38600,"Faerie Solitaire",2010-09-17,windows;mac,Casual;Indie,2147,207,266,6.99
40700,Machinarium,2009-10-16,windows;mac,Adventure;Indie,5437,264,165,7.99
41500,Torchlight,2009-10-27,windows;mac,RPG,3825,317,1108,10.99
42170,Krater,2012-06-12,windows;mac,Action;Adventure;Indie;RPG;Strategy,429,329,369,10.99
42210,"Nancy DrewÂ®: Secrets Can Kill REMASTERED",2011-07-25,windows;mac,Adventure,48,23,0,5.19
42220,"Nancy DrewÂ®: The Captive Curse",2011-07-25,windows;mac,Adventure,48,8,0,5.19
42230,"Nancy DrewÂ®: Trail of the Twister",2011-07-25,windows;mac,Adventure,22,8,0,4.99
45400,Fortix,2010-04-14,windows;mac,Indie,802,69,287,0.99
45420,"Land It!",2016-08-01,windows;mac,Casual;Indie;Simulation,10,1,0,6.99
46000,"Bob Came in Pieces",2010-01-22,windows;mac,Adventure;Indie,68,29,0,3.99
46500,Syberia,2011-05-19,windows;mac,Adventure;Casual,2092,260,293,9.99
46510,"Syberia II",2011-05-19,windows;mac,Adventure,862,156,227,9.99
49000,"Hotel Dashâ„¢ Suite Successâ„¢",2010-05-06,windows;mac,Casual,24,6,0,4.99
49800,"Flight of the Icarus",2010-05-12,windows;mac,Action;Indie,95,148,22,3.99
49810,CreaVures,2011-02-23,windows;mac,Indie,117,25,0,3.99
50130,"Mafia II",2011-03-22,windows;mac,Action,31445,1855,1029,19.99
50910,"Professor Fizzwizzle and the Molten Mystery",2010-04-21,windows;mac,Casual,12,0,0,4.99
51010,"My Tribe",2010-04-21,windows;mac,Casual;Simulation,33,15,0,6.99
51020,"Unwell Mel",2010-04-21,windows;mac,Casual,5,1,0,4.99
51030,"Atlantis Sky Patrol",2010-04-21,windows;mac,Casual;Indie,6,1,0,6.99
57000,"NyxQuest: Kindred Spirits",2010-09-27,windows;mac,Action;Adventure,87,9,0,1.99
57200,"Puzzle Dimension",2010-06-21,windows;mac,Casual;Indie,412,41,8,1.99
